Summary data collected by the Greenhouse Gas Reporting Program for 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Local Distribution Companies by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Local Distribution Companies,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007304,110071161314,Columbia Gas of Virginia,VA,Merrillville,IN,46410,801 East 86th Avenue,CHESTERFIELD COUNTY,37.36375,-77.39516,221210,"NN-LDC,W-LDC",30796.85,37.1,30759.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007569,110071160642,Connecticut Natural Gas Company,CT,East Hartford,CT,06108,76 Meadow Street,HARTFORD COUNTY,41.76135,-72.65664,221210,"NN-LDC,W-LDC",42380.65,46.4,42334.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004527,110071160593,Consumers Energy Company,MI,Jackson,MI,49201,One Energy Plaza,JACKSON COUNTY,42.315121,-84.375233,221210,"NN-LDC,W-LDC",200756.344,1995.7,198759.75,0.894,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006503,110071160636,DTE Energy Michcon LDC,MI,Detroit,MI,48226,One Energy Plaza,WAYNE COUNTY,42.328245,-83.049562,221210,"NN-LDC,W-LDC",327667.198,433.4,327233.5,0.298,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003285,110071159472,Delmarva Power & Light - Gas Delivery,DE,Wilmington,DE,19801,"630 Martin Luther King Jr., Blvd.",NEW CASTLE COUNTY,39.740363,-75.558513,221210,"NN-LDC,W-LDC",22509.6,27.1,22482.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004703,110071162376,Dominion Energy Ohio - The East Ohio Gas Co (Dist) (Ohio),OH,CLEVELAND,OH,44103,1201 EAST 55TH STREET,CUYAHOGA COUNTY,41.52706,-81.65199,221210,"NN-LDC,W-LDC",539588.996,1505.4,538083,0.596,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004977,110071161534,Dominion Energy Questar Gas Company (Dist) (Utah),UT,SALT LAKE CITY,UT,84101,1140 WEST 200 SOUTH,SALT LAKE COUNTY,40.76498,-111.92547,221210,"NN-LDC,W-LDC",100105.498,662.7,99442.5,0.298,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001738,110071159544,Duke Energy Kentucky Gas Operation,KY,Cincinnati,OH,45201,139 East Fourth St.,HAMILTON COUNTY,39.106635,-84.536323,221210,"NN-LDC,W-LDC",10856.65,13.4,10843.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002687,110043808591,Duke Energy Ohio Gas Operation,OH,Cincinnati,OH,45201,139 East Fourth St.,HAMILTON COUNTY,39.10036,-84.50994,221210,"NN-LDC,W-LDC",107725.7,129.7,107596,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004054,110043784517,Elizabethtown Gas,NJ,Berkeley Heights,NJ,07922,300 Connell Drive,UNION COUNTY,40.66158,-74.417,221210,"NN-LDC,W-LDC",32481.148,482.6,31998.25,0.298,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007828,110071161490,Elk River Public Utility District,TN,Tullahoma,TN,37388,217 South Jackson Street,COFFEE COUNTY,35.360512,-86.210315,221210,"NN-LDC,W-LDC",3403.85,4.1,3399.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001088,110071159558,Energy Services of Pensacola,FL,Pensacola,FL,32514,1625 Atwood Dr,ESCAMBIA COUNTY,30.50515,-87.22575,221210,"NN-LDC,W-LDC",34810.15,41.9,34768.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005572,110071159850,"Entergy Louisiana, LLC Gas Business",LA,Baton Rouge,LA,70805,5755 Choctaw Drive,EAST BATON ROUGE PARISH,30.47085,-91.13304,221210,"NN-LDC,W-LDC",10376.5,12.5,10364,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005240,110071161294,"Entergy New Orleans, LLC Gas Business",LA,New Orleans,LA,70119,3700 Tulane Ave,ORLEANS PARISH,29.979811,-90.079349,221210,"NN-LDC,W-LDC",11736.35,14.1,11722.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003840,110071162208,Eversource Gas Mass,MA,Westwood,MA,02090,247 Station Dr,WORCESTER COUNTY,42.283831,-71.583763,221210,"NN-LDC,W-LDC",89302.75,217.5,89085.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
